,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,Coursera Labs,Course 1 of 3 in the,Beginner Level,English,Approx. 33 hours to complete,https://www.coursera.org/learn/machine-learning,,,,,
1,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,English,Approx. 21 hours to complete,https://www.coursera.org/learn/indigenous-canada,,,,,,,,
2,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,English,Approx. 20 hours to complete,https://www.coursera.org/learn/the-science-of-well-being,,,,,,,,
3,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,Course 1 of 5 in the,English,Beginner Level,https://www.coursera.org/learn/technical-support-fundamentals,,,,,,,
4,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,English,Approx. 4 hours to complete,https://www.coursera.org/learn/google-cbrs-cpi-training,,,,,,,,
5,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,English,Beginner Level,https://www.coursera.org/learn/financial-markets-global,,,,,,,,
6,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,English,Beginner Level,https://www.coursera.org/learn/introduction-psychology,,,,,,,,
7,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,Course 1 of 5 in the,English,Approx. 19 hours to complete,https://www.coursera.org/learn/python,,,,,,,
8,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,Course 2 of 5 in the,English,Beginner Level,https://www.coursera.org/learn/computer-networking,,,,,,,
9,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,Beginner Level,English,Approx. 11 hours to complete,https://www.coursera.org/learn/ai-for-everyone,,,,,,,
10,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,Course 1 of 6 in the,English,Beginner Level,https://www.coursera.org/learn/python-crash-course,,,,,,,
11,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,English,Approx. 6 hours to complete,https://www.coursera.org/learn/psychological-first-aid,,,,,,,,
12,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,Coursera Labs,Course 1 of 5 in the,Intermediate Level,English,Approx. 25 hours to complete,https://www.coursera.org/learn/neural-networks-deep-learning,,,,,
13,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,Beginner Level,English,Approx. 8 hours to complete,https://www.coursera.org/learn/what-is-datascience,,,,,,,
14,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,English,Approx. 17 hours to complete,https://www.coursera.org/learn/negotiation-skills,,,,,,,,
15,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,Beginner Level,English,Approx. 8 hours to complete,https://www.coursera.org/learn/uva-darden-project-management,,,,,,,
16,Week 3: Classification,Shareable Certificate,Course 1 of 4 in the,English,100% online,https://www.coursera.org/learn/project-management,,,,,,,,,
17,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,English,Beginner Level,https://www.coursera.org/learn/brand,,,,,,,,
18,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,English,Beginner Level,https://www.coursera.org/learn/sciwrite,,,,,,,,
19,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,English,Beginner Level,https://www.coursera.org/learn/food-and-health,,,,,,,,
20,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,English,Approx. 40 hours to complete,https://www.coursera.org/learn/html-css-javascript-for-web-developers,,,,,,,,
21,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,Course 1 of 4 in the,Beginner Level,English,Approx. 26 hours to complete,https://www.coursera.org/learn/excel-essentials,,,,,,
22,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,English,Approx. 34 hours to complete,https://www.coursera.org/learn/negotiation,,,,,,,,
23,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,Course 1 of 3 in the,Beginner Level,English,Approx. 24 hours to complete,https://www.coursera.org/learn/everyday-excel-part-1,,,,,,
24,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,English,Beginner Level,https://www.coursera.org/learn/learning-how-to-learn,,,,,,,,
25,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,English,Beginner Level,https://www.coursera.org/learn/gcp-fundamentals,,,,,,,,
26,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,English,Approx. 4 hours to complete,https://www.coursera.org/learn/wharton-contagious-viral-marketing,,,,,,,,
27,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,Course 2 of 5 in the,English,Approx. 19 hours to complete,https://www.coursera.org/learn/python-data,,,,,,,
28,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,English,Approx. 10 hours to complete,https://www.coursera.org/learn/private-equity,,,,,,,,
29,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,English,Beginner Level,https://www.coursera.org/learn/learn-korean,,,,,,,,
30,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,Course 1 of 4 in the,Intermediate Level,English,Approx. 18 hours to complete,https://www.coursera.org/learn/introduction-tensorflow,,,,,,
31,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,Course 3 of 5 in the,English,Beginner Level,https://www.coursera.org/learn/os-power-user,,,,,,,
32,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,Beginner Level,English,Approx. 20 hours to complete,https://www.coursera.org/learn/open-source-tools-for-data-science,,,,,,,
33,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,Coursera Labs,Course 2 of 5 in the,Intermediate Level,English,Approx. 24 hours to complete,https://www.coursera.org/learn/deep-neural-network,,,,,
34,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,English,Beginner Level,https://www.coursera.org/learn/diversity-inclusion-workplace,,,,,,,,
35,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,English,Approx. 10 hours to complete,https://www.coursera.org/learn/clinical-trials,,,,,,,,
36,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,Course 1 of 4 in the,English,Beginner Level,https://www.coursera.org/learn/visual-elements-user-interface-design,,,,,,,
37,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,English,Approx. 12 hours to complete,https://www.coursera.org/learn/mafash,,,,,,,,
38,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,Spanish,Approx. 15 hours to complete,https://www.coursera.org/learn/pap,,,,,,,,
39,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,English,Beginner Level,https://www.coursera.org/learn/social-psychology,,,,,,,,
40,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,English,Approx. 7 hours to complete,https://www.coursera.org/learn/project-planning,,,,,,,,
41,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,English,Beginner Level,https://www.coursera.org/learn/computational-thinking-problem-solving,,,,,,,,
42,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,English,Beginner Level,https://www.coursera.org/learn/agile-atlassian-jira,,,,,,,,
43,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,Course 1 of 5 in the,English,Beginner Level,https://www.coursera.org/learn/fundamentals-of-graphic-design,,,,,,,
44,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,English,Beginner Level,https://www.coursera.org/learn/user-experience-design,,,,,,,,
45,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,Course 1 of 6 in the,English,Approx. 10 hours to complete,https://www.coursera.org/learn/wharton-marketing,,,,,,,
46,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,Beginner Level,English,Approx. 21 hours to complete,https://www.coursera.org/learn/python-for-applied-data-science-ai,,,,,,,
47,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,Beginner Level,English,Approx. 16 hours to complete,https://www.coursera.org/learn/uva-darden-market-analytics,,,,,,,
48,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,Course 1 of 4 in the,Intermediate Level,English,Approx. 34 hours to complete,https://www.coursera.org/learn/classification-vector-spaces-in-nlp,,,,,,
49,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,English,Approx. 8 hours to complete,https://www.coursera.org/learn/wharton-quantitative-modeling,,,,,,,,
50,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,Intermediate Level,English,Approx. 11 hours to complete,https://www.coursera.org/learn/remote-team-management,,,,,,,
51,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,Course 1 of 3 in the,English,Beginner Level,https://www.coursera.org/learn/linear-algebra-machine-learning,,,,,,,
52,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,Coursera Labs,Course 1 of 5 in the,English,Intermediate Level,https://www.coursera.org/learn/python-data-analysis,,,,,,
53,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,Course 1 of 5 in the,English,Approx. 12 hours to complete,https://www.coursera.org/learn/wharton-customer-analytics,,,,,,,
54,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,English,Approx. 23 hours to complete,https://www.coursera.org/learn/introduction-psych,,,,,,,,
55,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,English,Approx. 40 hours to complete,https://www.coursera.org/learn/careerdevelopment,,,,,,,,
56,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,English,Approx. 13 hours to complete,https://www.coursera.org/learn/global-diplomacy,,,,,,,,
57,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,English,Beginner Level,https://www.coursera.org/learn/game-theory-1,,,,,,,,
58,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,Course 1 of 4 in the,English,Beginner Level,https://www.coursera.org/learn/sql-for-data-science,,,,,,,
59,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,Course 1 of 4 in the,English,Approx. 14 hours to complete,https://www.coursera.org/learn/professional-emails-english,,,,,,,
60,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,English,Advanced Level,https://www.coursera.org/learn/medical-neuroscience,,,,,,,,
61,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,Course 4 of 5 in the,English,Beginner Level,https://www.coursera.org/learn/system-administration-it-infrastructure-services,,,,,,,
62,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,English,Beginner Level,https://www.coursera.org/learn/womens-health-human-rights,,,,,,,,
63,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,English,Beginner Level,https://www.coursera.org/learn/childnutrition,,,,,,,,
64,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,English,Beginner Level,https://www.coursera.org/learn/neurobiology,,,,,,,,
65,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,Course 1 of 6 in the,English,Beginner Level,https://www.coursera.org/learn/social-media-marketing-introduction,,,,,,,
66,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,English,Approx. 7 hours to complete,https://www.coursera.org/learn/forensic-accounting,,,,,,,,
67,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,English,Beginner Level,https://www.coursera.org/learn/clinical-terminology,,,,,,,,
68,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,English,Beginner Level,https://www.coursera.org/learn/science-exercise,,,,,,,,
69,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,Beginner Level,English,Approx. 11 hours to complete,https://www.coursera.org/learn/uva-darden-digital-product-management,,,,,,,
70,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,English,Beginner Level,https://www.coursera.org/learn/datasciencemathskills,,,,,,,,
71,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,Course 3 of 5 in the,Beginner Level,English,Approx. 7 hours to complete,https://www.coursera.org/learn/machine-learning-projects,,,,,,
72,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,English,Beginner Level,https://www.coursera.org/learn/american-law,,,,,,,,
73,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,English,Intermediate Level,https://www.coursera.org/learn/content-marketing,,,,,,,,
74,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,English,Beginner Level,https://www.coursera.org/learn/introduction-cybersecurity-cyber-attacks,,,,,,,,
75,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,English,Approx. 18 hours to complete,https://www.coursera.org/learn/data-scientists-tools,,,,,,,,
76,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,English,Approx. 10 hours to complete,https://www.coursera.org/learn/animal-welfare,,,,,,,,
77,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,Course 2 of 4 in the,Intermediate Level,English,Approx. 17 hours to complete,https://www.coursera.org/learn/convolutional-neural-networks-tensorflow,,,,,,
78,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,Course 1 of 5 in the,English,Beginner Level,https://www.coursera.org/learn/positive-psychology-visionary-science,,,,,,,
79,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,Course 1 of 3 in the,English,Beginner Level,https://www.coursera.org/learn/cancer,,,,,,,
80,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,Course 4 of 5 in the,Intermediate Level,English,Approx. 36 hours to complete,https://www.coursera.org/learn/convolutional-neural-networks,,,,,,
81,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,Course 3 of 5 in the,English,Approx. 19 hours to complete,https://www.coursera.org/learn/python-network-data,,,,,,,
82,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,English,Approx. 33 hours to complete,https://www.coursera.org/learn/physiology,,,,,,,,
83,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,English,Approx. 14 hours to complete,https://www.coursera.org/learn/systematic-review,,,,,,,,
84,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,English,Beginner Level,https://www.coursera.org/learn/organizational-analysis,,,,,,,,
85,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,English,Beginner Level,https://www.coursera.org/learn/communication-strategies-virtual-age,,,,,,,,
86,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,English,Approx. 45 hours to complete,https://www.coursera.org/learn/moral-politics,,,,,,,,
87,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,French,Intermediate Level,https://www.coursera.org/learn/etudier-en-france,,,,,,,,
88,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,English,Approx. 12 hours to complete,https://www.coursera.org/learn/company-future-management,,,,,,,,
89,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,English,Beginner Level,https://www.coursera.org/learn/finance-for-non-finance,,,,,,,,
90,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,English,Intermediate Level,https://www.coursera.org/learn/site-reliability-engineering-slos,,,,,,,,
91,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,Course 2 of 4 in the,English,Approx. 9 hours to complete,https://www.coursera.org/learn/autism-spectrum-disorder,,,,,,,
92,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,Beginner Level,English,Approx. 8 hours to complete,https://www.coursera.org/learn/data-science-methodology,,,,,,,
93,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,English,Approx. 13 hours to complete,https://www.coursera.org/learn/wharton-accounting,,,,,,,,
94,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,Course 2 of 7 in the,English,Beginner Level,https://www.coursera.org/learn/marketing-digital,,,,,,,
95,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,English,Approx. 36 hours to complete,https://www.coursera.org/learn/wind-energy,,,,,,,,
96,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,English,Intermediate Level,https://www.coursera.org/learn/sustainable-finance,,,,,,,,
97,Week 3: Classification,Shareable Certificate,100% online courses,Flexible Schedule,Intermediate Level,Approximately 7 months to complete,English,https://www.coursera.org/learn/financial-engineering-1,,,,,,,
98,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,English,Approx. 19 hours to complete,https://www.coursera.org/learn/philosophy,,,,,,,,
99,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,Course 1 of 5 in the,English,Approx. 8 hours to complete,https://www.coursera.org/learn/analytics-business-metrics,,,,,,,
