name,institution,is_university,level,students,rating,first_review_on
machine learning,stanford university,1,mixed,222478,4.8,2015-08-07
indigenous canada,university of alberta,1,mixed,51000,4.8,2017-04-09
the science of well-being,yale university,1,mixed,2500000,4.9,2018-03-29
technical support fundamentals,google,0,beginner,280000,4.8,2018-01-16
become a cbrs certified professional installer by google,google - spectrum sharing,0,mixed,210000,4.9,2019-06-07
financial markets,yale university,1,beginner,470000,4.8,2017-07-14
introduction to psychology,yale university,1,beginner,270000,4.8,2018-11-21
programming for everybody (getting started with python),university of michigan,1,mixed,1300000,4.6,2015-09-15
the bits and bytes of computer networking,google,0,beginner,130000,4.6,2018-01-25
ai for everyone,deeplearning.ai,0,beginner,350000,4.8,2019-02-28
crash course on python,google,0,beginner,81000,4.7,2020-01-17
psychological first aid,johns hopkins university,1,mixed,190000,4.9,2016-01-13
neural networks and deep learning,deeplearning.ai,0,intermediate,630000,4.8,2017-08-09
what is data science?,ibm,0,beginner,260000,4.6,2018-03-28
successful negotiation: essential strategies and skills,university of michigan,1,mixed,750000,4.8,2015-08-07
fundamentals of project planning and management,university of virginia,1,beginner,120000,4.8,2015-11-04
project launch,"university of california, irvine",1,beginner,190000,4.4,2017-10-13
"brand management: aligning business, brand and behaviour",london business school,1,beginner,57000,4.9,2018-03-22
writing in the sciences,stanford university,1,beginner,140000,4.9,2017-09-17
stanford introduction to food and health,stanford university,1,beginner,370000,4.7,2016-01-18
"html, css, and javascript for web developers",johns hopkins university,1,mixed,240000,4.8,2016-02-16
excel skills for business: essentials,macquarie university,1,beginner,200000,4.9,2017-11-06
introduction to negotiation: a strategic playbook for becoming a principled and persuasive negotiator,yale university,1,-,0,4.9,2015-08-07
"everyday excel, part 1",university of colorado boulder,1,beginner,11000,4.8,2020-04-07
learning how to learn: powerful mental tools to help you master tough subjects,university of california san diego,1,-,0,4.8,2015-08-07
google cloud platform fundamentals: core infrastructure,google cloud,0,-,0,4.7,2016-12-21
viral marketing and how to craft contagious content,university of pennsylvania,1,mixed,150000,4.8,2015-11-29
python data structures,university of michigan,1,mixed,420000,4.8,2015-09-03
private equity and venture capital,università bocconi,1,mixed,79000,4.8,2015-10-14
first step korean,yonsei university,1,beginner,400000,4.9,2016-02-09
