name,students,course_type,institution,is_university,level,subject,hours_per_week,weeks,total_effort,price
how to learn online,124980,self-paced on your time,edx,0,beginner,education & teacher training,2.5,2.0,5.0,49
programming for everybody (getting started with python),293864,self-paced on your time,the university of michigan,1,beginner,computer science,3.0,7.0,21.0,49
cs50's introduction to computer science,2442271,self-paced on your time,harvard university,1,beginner,computer science,12.0,12.0,144.0,90
the analytics edge,129555,instructor-led on a course schedule,massachusetts institute of technology,1,intermediate,data analysis & statistics,12.5,13.0,162.5,199
marketing analytics: marketing measurement strategy,81140,self-paced on your time,"university of california, berkeley",1,beginner,computer science,6.0,4.0,24.0,249
introduction to project management,301793,self-paced on your time,university of adelaide,1,beginner,business & management,2.5,6.0,15.0,199
leading high-performing teams,32847,self-paced on your time,the university of queensland,1,intermediate,communication,9.0,10.0,90.0,5
the foundations of happiness at work,67073,self-paced on your time,"university of california, berkeley",1,beginner,business & management,2.5,4.0,10.0,199
"managing study, stress and mental health at university",23061,self-paced on your time,curtin university,1,beginner,health & safety,2.0,2.0,4.0,49
six sigma: define and measure,92411,self-paced on your time,technische universität münchen,1,beginner,business & management,3.5,8.0,28.0,99
fat chance: probability from the ground up,66835,self-paced on your time,harvard university,1,beginner,math,4.0,7.0,28.0,49
chasing your dream: how to end procrastination and get a job you love,44711,self-paced on your time,national research nuclear university,1,beginner,communication,4.0,5.0,20.0,49
bitcoin and cryptocurrencies,83398,self-paced on your time,"university of california, berkeley",1,beginner,computer science,4.0,6.0,24.0,99
ethics in action,6366,self-paced on your time,sdg academy,0,intermediate,ethics,3.0,10.0,30.0,49
introduction to fintech,72767,self-paced on your time,university of hong kong,1,beginner,economics & finance,2.0,6.0,12.0,199
data science: r basics,528782,self-paced on your time,harvard university,1,beginner,data analysis & statistics,1.5,8.0,12.0,49
python basics for data science,228809,self-paced on your time,ibm,0,beginner,data analysis & statistics,3.5,5.0,17.5,39
the science of beer,39085,self-paced on your time,wageningen university & research,1,beginner,food & nutrition,3.0,6.0,18.0,49
strategic social media marketing,103640,instructor-led on a course schedule,boston university,1,expert,business & management,5.0,6.0,30.0,399
cs50's introduction to artificial intelligence with python,258006,self-paced on your time,harvard university,1,beginner,computer science,20.0,7.0,140.0,199
cs50's introduction to game development,346748,self-paced on your time,harvard university,1,intermediate,computer science,7.5,12.0,90.0,149
rhetoric: the art of persuasive writing and public speaking,320225,self-paced on your time,harvard university,1,beginner,humanities,2.5,8.0,20.0,99
cs50's web programming with python and javascript,698950,self-paced on your time,harvard university,1,intermediate,computer science,7.5,12.0,90.0,90
contract law: from trust to promise to contract,414181,self-paced on your time,harvard university,1,intermediate,business & management,4.5,8.0,36.0,125
"fundamentals of neuroscience, part 1: the electrical properties of the neuron",380167,self-paced on your time,harvard university,1,beginner,biology & life sciences,4.0,5.0,20.0,99
justice,392588,self-paced on your time,harvard university,1,beginner,humanities,4.5,12.0,54.0,99
data science: machine learning,276209,self-paced on your time,harvard university,1,beginner,data analysis & statistics,3.0,8.0,24.0,49
child protection: children's rights in theory and practice,212453,self-paced on your time,harvard university,1,beginner,social sciences,4.0,16.0,64.0,99
