name,is_paid,price,students,num_lectures,level,content_duration,total_effort,published_on,subject,is_online,rating
ultimate investment banking course,True,200,2147,51,mixed,1.5,4.5,2017-01-18,business finance,1,3.6
complete gst course & certification - grow your ca practice,True,75,2792,274,mixed,39.0,117.0,2017-03-09,business finance,1,4.4
financial modeling for business analysts and consultants,True,45,2174,51,intermediate,2.5,7.5,2016-12-19,business finance,1,4.3
beginner to pro - financial analysis in excel 2017,True,95,2451,36,mixed,3.0,9.0,2017-05-30,business finance,1,4.0
how to maximize your profits trading options,True,200,1276,26,intermediate,2.0,6.0,2016-12-13,business finance,1,4.7
trading penny stocks: a guide for all levels in 2017,True,150,9221,25,mixed,3.0,9.0,2014-05-02,business finance,0,
investing and trading for beginners: mastering price charts,True,65,1540,26,beginner,1.0,3.0,2016-02-21,business finance,1,4.6
"trading stock chart patterns for immediate, explosive gains",True,95,2917,23,mixed,2.5,7.5,2015-01-30,business finance,1,4.4
options trading 3 : advanced stock profit and success method,True,195,5172,38,expert,2.5,7.5,2015-05-28,business finance,1,
the only investment strategy you need for your retirement,True,200,827,15,mixed,1.0,3.0,2017-04-18,business finance,1,3.9
forex trading secrets of the pros with amazon's aws,True,200,4284,76,mixed,5.0,15.0,2015-09-11,business finance,1,4.0
trading options with money flow,True,200,1380,17,mixed,1.0,3.0,2016-10-18,business finance,1,4.0
financial management risk and return for securities,True,30,3607,19,mixed,1.5,4.5,2016-02-03,business finance,1,3.4
forex trading course: work smarter not harder proven results,True,195,4061,16,mixed,2.0,6.0,2016-03-16,business finance,1,4.3
python algo trading: sentiment trading with news,True,200,294,42,mixed,7.0,21.0,2017-04-28,business finance,0,
short selling: learn to sell stocks before the fall,True,75,2276,19,intermediate,1.5,4.5,2015-06-22,business finance,1,4.4
basic technical analysis: learn the structure of the market,True,20,4919,16,beginner,1.5,4.5,2016-01-08,business finance,0,
the complete chart pattern trading course: a proven approach,True,200,2666,52,mixed,4.0,12.0,2015-08-10,business finance,1,3.8
7 deadly mistakes of investing that will slash your profits!,True,50,5354,23,mixed,1.5,4.5,2015-09-21,business finance,0,
financial statements made easy,True,95,8095,12,beginner,0.5833333333333334,1.75,2013-06-09,business finance,0,
winning forex trading with live forex trading examples,True,200,809,25,mixed,2.0,6.0,2017-06-06,business finance,0,
forex traders - create your first trading robot. no coding!,True,200,2295,39,mixed,4.0,12.0,2016-05-02,business finance,1,4.4
create a business from home trading stocks today in 2017,True,75,10149,16,mixed,2.0,6.0,2015-05-26,business finance,0,
introduction to accounting : mastering financial statements,True,50,1916,23,beginner,1.0,3.0,2016-12-05,business finance,1,4.5
the complete ethereum course: get .01 ether in your wallet,True,45,2507,40,mixed,2.0,6.0,2016-05-30,business finance,0,
beginner to pro in powerpoint: complete powerpoint training,True,150,5786,50,mixed,5.0,15.0,2015-01-31,business finance,1,4.4
investing 101: the complete online investing course,True,200,5334,42,mixed,4.5,13.5,2014-11-28,business finance,1,4.4
create your own hedge fund: trade stocks like a fund manager,True,175,4005,25,intermediate,2.0,6.0,2015-04-12,business finance,1,4.2
learn mql5: build an 8-currency hedging robot (metatrader 5),True,150,2877,81,mixed,4.5,13.5,2016-04-26,business finance,1,
forex trading: your complete guide to get started like a pro,True,140,1026,37,beginner,3.0,9.0,2017-06-27,business finance,1,4.7
python algo stock trading: automate your trading!,True,95,1165,41,beginner,2.5,7.5,2017-05-28,business finance,0,
the forex robot: incredible roi (robot included),True,200,1843,35,mixed,1.5,4.5,2016-10-04,business finance,1,3.4
the complete bitcoin course: get .001 bitcoin in your wallet,True,45,8797,80,mixed,6.5,19.5,2015-01-09,business finance,1,4.3
mastering high probability iron condor options trading,True,200,1030,22,mixed,2.0,6.0,2017-06-01,business finance,1,4.1
the complete short course on ethereum,True,200,1041,28,mixed,1.5,4.5,2017-06-11,business finance,1,4.0
options trading stocks: proven toolbox for financial success,True,195,7884,68,intermediate,10.0,30.0,2015-05-19,business finance,1,4.7
forex trading a-z™ - with live examples of forex trading,True,195,16900,52,beginner,5.5,16.5,2014-12-12,business finance,1,4.5
"introduction to finance, accounting, modeling and valuation",True,200,11441,61,mixed,4.5,13.5,2016-06-28,business finance,1,4.5
beginner to pro in excel: financial modeling and valuation,True,195,22257,138,mixed,7.5,22.5,2014-11-25,business finance,1,4.5
the complete investment banking course 2017,True,195,8575,110,mixed,5.5,16.5,2016-10-10,business finance,1,4.5
the complete financial analyst course 2017,True,195,24481,174,mixed,10.0,30.0,2016-01-21,business finance,1,4.6
python for finance: investment fundamentals & data analytics,True,195,3811,103,mixed,6.5,19.5,2017-03-30,business finance,1,4.5
financial modeling for startups & small businesses,True,195,4991,79,beginner,11.5,34.5,2017-03-29,business finance,1,4.4
options trading - how to win with weekly options,True,115,7489,25,intermediate,1.0,3.0,2015-10-22,business finance,1,4.3
black algo trading: build your trading robot,True,200,20195,227,mixed,16.0,48.0,2014-10-27,business finance,1,
accounting & financial statement analysis: complete training,True,150,10042,43,mixed,3.0,9.0,2015-10-22,business finance,1,4.6
cryptocurrency trading: complete guide to trading altcoins,True,95,367,35,mixed,5.0,15.0,2017-06-21,business finance,0,
forex robots: expect to earn 175% p.a. forex robot included!,True,200,10603,42,mixed,5.5,16.5,2014-10-12,business finance,1,4.7
three steps trading - live trading - real account,True,190,1197,46,mixed,5.0,15.0,2017-05-24,business finance,1,4.7
option trading for rookies:  understand options completely,True,150,2893,62,mixed,2.0,6.0,2016-08-10,business finance,1,4.6
how i learned stock trading (and how you can too),True,200,1580,53,expert,2.0,6.0,2017-05-02,business finance,1,3.9
learn to trade for profit: find and trade winning stocks,True,95,10605,77,mixed,3.0,9.0,2014-10-24,business finance,1,4.7
trading inside bars - master 1 easy pattern to be successful,True,125,2996,23,intermediate,2.0,6.0,2015-03-09,business finance,1,4.6
four fundamentals of financial planning,True,30,6219,20,mixed,1.0,3.0,2017-02-14,business finance,1,3.8
options trading - calendar spread course for every trader,True,200,1113,17,mixed,1.5,4.5,2017-04-02,business finance,1,4.0
dividend investing: build your portfolio for a better future,True,60,8314,47,beginner,4.0,12.0,2015-01-24,business finance,0,
learn accounting. understand business.,True,200,5572,33,beginner,5.5,16.5,2014-03-27,business finance,1,4.5
how to consistently win trading stocks in 30 days or less,True,145,1433,15,intermediate,1.0,3.0,2016-05-09,business finance,1,3.9
a beginner's guide to quantopian futures api,True,20,936,11,intermediate,1.5,4.5,2017-04-11,business finance,0,
how to buy cheap options - options trading pricing model,True,200,658,19,mixed,1.0,3.0,2017-06-02,business finance,1,4.9
excel crash course: master excel for financial analysis,True,105,8121,40,mixed,3.5,10.5,2016-10-18,business finance,1,4.6
"comprehensive guide to financial markets, investing &trading",True,60,4187,79,beginner,9.0,27.0,2016-02-29,business finance,1,4.4
stock trading ninja: complete system for trading success,True,155,9445,38,mixed,4.5,13.5,2014-02-19,business finance,0,
hedge and mutual fund careers: the complete guide,True,200,3255,102,mixed,8.5,25.5,2016-06-20,business finance,1,4.2
algorithmic trading in forex: create your first forex robot!,True,185,7941,40,mixed,6.5,19.5,2014-08-11,business finance,1,4.5
the power modeling bootcamp: advanced excel in 10 days,True,150,1680,76,mixed,5.5,16.5,2016-11-26,business finance,1,4.5
options trading basics (3-course bundle),True,180,10100,45,beginner,11.0,33.0,2013-02-25,business finance,1,4.5
how to win 97% of your options trades,True,125,5050,26,mixed,1.5,4.5,2015-02-10,business finance,1,4.2
how i make consistent returns trading options,True,200,2310,26,mixed,3.5,10.5,2016-10-05,business finance,1,4.1
"forex strategies: kelly criterion, larry williams and more!",True,185,5528,32,mixed,3.0,9.0,2015-02-19,business finance,1,4.7
"elite trend trader: learn to trade stocks, options & forex",True,125,6451,28,mixed,5.0,15.0,2014-04-16,business finance,0,
options trading introduction: day trade stock options,True,95,12394,30,beginner,2.5,7.5,2015-02-20,business finance,1,3.8
the almost perfect options trading strategy system - unique,True,200,1793,15,mixed,1.0,3.0,2017-03-03,business finance,1,4.3
forex trading -  learn to trade forex like the banks,True,20,3223,23,mixed,1.0,3.0,2016-03-30,business finance,1,4.1
learn to trade for profit:trading with japanese candlesticks,True,60,16385,45,beginner,3.0,9.0,2014-09-02,business finance,1,4.3
the most powerful options spread trading front ratio spread,True,200,1487,18,mixed,2.0,6.0,2017-03-08,business finance,1,4.5
what finance job is for you? explanation of 14 finance roles,True,200,2951,60,mixed,4.0,12.0,2016-05-04,business finance,1,5.0
the blueprint for successful stock trading,True,120,2697,15,mixed,1.0,3.0,2015-08-13,business finance,1,4.7
